Tech_Category,Revenue
auto,592720.1107084751
telephony,323667.52939271927
computers,222963.1298828125
small_appliances,190648.579996109
electronics,160246.73940825462
consoles_games,157465.2204079628
home_appliances_2,113317.73986434937
home_appliances,80171.53019571304
fixed_telephony,59582.99996805191
air_conditioning,55024.95971488953
audio,50688.49962043762
small_appliances_home_oven_and_coffee,47445.71008014679
signaling_and_security,21509.230089187622
tablets_printing_image,7528.410045623779
dvds_blu_ray,5999.389982223511
portable_kitchen_food_processors,3968.5299968719482
pc_gamer,1545.9500274658203
